売上日,担当者,商品分類,商品名,売上金額
2020/7/19,花子,周辺機器,モニター,60000
2020/7/21,次郎,小型家電,レンジ,70000
2020/7/22,次郎,周辺機器,プリンタ,80000
2020/8/4,花子,大型家電,洗濯機,14000
2020/8/7,太郎,周辺機器,モニター,42000
2020/8/8,次郎,大型家電,冷蔵庫,70000
2020/8/9,花子,小型家電,掃除機,40000
2020/8/11,姫子,大型家電,冷蔵庫,63000
2020/8/13,次郎,小型家電,掃除機,6000
2020/8/15,太郎,周辺機器,モニター,50000
2020/8/17,姫子,小型家電,レンジ,8000
2020/8/20,次郎,周辺機器,プリンタ,7000
2020/8/21,太郎,大型家電,洗濯機,18000
2020/8/23,花子,周辺機器,モニター,10000
2020/9/1,太郎,大型家電,冷蔵庫,48000
2020/9/5,姫子,小型家電,掃除機,35000
2020/9/6,花子,大型家電,冷蔵庫,60000
2020/9/10,次郎,小型家電,掃除機,50000
2020/9/15,太郎,周辺機器,モニター,32000
2020/9/16,花子,小型家電,レンジ,30000
2020/9/17,次郎,周辺機器,プリンタ,56000
2020/9/18,姫子,大型家電,洗濯機,90000
2020/9/19,次郎,周辺機器,モニター,30000
2020/9/20,花子,大型家電,冷蔵庫,14000
2020/9/21,太郎,小型家電,掃除機,24000
2020/10/3,姫子,大型家電,冷蔵庫,70000
2020/10/12,姫子,小型家電,掃除機,80000
2020/10/14,花子,周辺機器,モニター,35000
2020/10/15,次郎,小型家電,レンジ,6000
2020/10/15,太郎,周辺機器,プリンタ,10000
2020/10/17,姫子,大型家電,洗濯機,24000
2020/10/18,次郎,周辺機器,モニター,35000
2020/10/19,太郎,大型家電,冷蔵庫,42000
2020/10/20,花子,小型家電,掃除機,70000
2020/10/23,太郎,大型家電,冷蔵庫,32000
2020/10/23,姫子,小型家電,掃除機,24000
2020/11/4,花子,周辺機器,モニター,50000
2020/11/8,次郎,小型家電,レンジ,90000
2020/11/9,太郎,周辺機器,プリンタ,48000
2020/11/10,次郎,大型家電,洗濯機,12000
2020/11/15,花子,周辺機器,モニター,42000
2020/11/16,姫子,大型家電,冷蔵庫,90000
2020/11/17,次郎,小型家電,掃除機,10000
2020/11/18,花子,大型家電,冷蔵庫,7000
2020/11/19,太郎,小型家電,掃除機,48000
2020/11/20,姫子,周辺機器,モニター,50000
2020/11/21,太郎,小型家電,レンジ,48000
2020/12/7,姫子,周辺機器,プリンタ,56000
2020/12/12,次郎,大型家電,洗濯機,48000
2020/12/13,太郎,周辺機器,モニター,30000
2020/12/14,姫子,大型家電,冷蔵庫,64000
2020/12/15,次郎,小型家電,掃除機,56000
2020/12/16,太郎,大型家電,洗濯機,60000
2020/12/17,花子,小型家電,レンジ,30000
2020/12/21,花子,周辺機器,プリンタ,32000
2020/12/22,姫子,小型家電,レンジ,21000
2020/12/23,花子,周辺機器,プリンタ,6000
2020/12/25,次郎,大型家電,洗濯機,50000
